Stock,Total Quarterly Gross Profit Score,Total Annual Gross Profit Score,Total Quarterly Revenue Score,Total Annual Revenue Score,Total Quarterly EPS Score,Total Annual EPS Score,Total Score
LIN,5,7,4,7,2,1,26
SHW,6,7,7,7,6,7,40
APD,4,7,4,1,4,7,27
ECL,4,7,4,7,4,7,33
DD,4,2,5,2,4,2,19
NEM,6,5,4,5,5,5,30
DOW,4,3,4,3,5,2,21
FCX,6,3,6,3,6,3,27
PPG,4,4,4,3,4,5,24
CTVA,3,2,3,2,3,5,18
LYB,6,3,4,3,4,3,23
VMC,2,7,2,7,2,6,26
NUE,5,3,5,3,3,3,22
MLM,6,7,6,7,6,7,39
CE,5,3,5,3,5,3,24
FMC,1,7,1,6,1,3,19
ALB,4,7,2,7,4,7,31
EMN,5,3,5,3,5,3,24
IFF,5,7,5,7,3,5,32
MOS,6,3,6,3,2,3,23
CF,2,6,2,7,2,6,25
